,value,geometry,lon,lat
141,26.0,POINT (658080.9951195475 5595972.35459186),658080.995,5595972.355
142,28.0,POINT (657507.5465318628 5595900.792660167),657507.547,5595900.793
143,33.0,POINT (657614.0621509769 5595872.665921625),657614.062,5595872.666
144,39.0,POINT (655765.8947634858 5595851.720221907),655765.895,5595851.72
145,32.0,POINT (657395.2053668807 5595873.024214449),657395.205,5595873.024
146,40.0,POINT (638404.8201630599 5595850.276896513),638404.82,5595850.277
147,35.0,POINT (649807.5683085173 5595857.060437923),649807.568,5595857.06
148,24.0,POINT (658434.6416433792 5595796.009784428),658434.642,5595796.01
149,40.0,POINT (652333.3751669071 5595757.256367031),652333.375,5595757.256
150,39.0,POINT (661610.6391288693 5595793.499027886),661610.639,5595793.499
151,40.0,POINT (641035.9991985707 5595740.978120844),641035.999,5595740.978
152,40.0,POINT (642573.7177433147 5595687.561067498),642573.718,5595687.561
153,40.0,POINT (657049.7964213993 5595657.681242669),657049.796,5595657.681
154,38.0,POINT (648012.8936080585 5595642.601418236),648012.894,5595642.601
155,29.0,POINT (657865.7901463748 5595637.244000913),657865.79,5595637.244
156,37.0,POINT (658121.9370258898 5595719.446401557),658121.937,5595719.446
157,34.0,POINT (659745.8251362679 5595609.935990989),659745.825,5595609.936
158,31.0,POINT (659859.6315793103 5595670.818961452),659859.632,5595670.819
159,31.0,POINT (656444.4511395886 5595578.003040278),656444.451,5595578.003
160,29.0,POINT (657866.7521994329 5595551.266528942),657866.752,5595551.267
161,33.0,POINT (658664.6387984556 5595573.129735541),658664.639,5595573.13
162,31.0,POINT (659644.069867639 5595497.484785032),659644.07,5595497.485
163,35.0,POINT (660875.2228849315 5595608.171816758),660875.223,5595608.172
164,40.0,POINT (653973.6477657942 5595499.980798848),653973.648,5595499.981
165,28.0,POINT (657316.0597416634 5595486.644615937),657316.06,5595486.645
166,35.0,POINT (653863.9256385168 5595623.305056183),653863.926,5595623.305
167,30.0,POINT (657166.3086052743 5595523.124627595),657166.309,5595523.125
168,39.0,POINT (641810.535951772 5595411.825804064),641810.536,5595411.826
169,35.0,POINT (658363.2640813885 5595408.716194998),658363.264,5595408.716
170,36.0,POINT (647690.0560235864 5595352.072363143),647690.056,5595352.072
171,38.0,POINT (643102.5397054948 5595259.834521256),643102.54,5595259.835
172,40.0,POINT (647223.8915139894 5595264.61592036),647223.892,5595264.616
173,40.0,POINT (656213.5244842927 5595321.152692757),656213.524,5595321.153
174,38.0,POINT (646020.7222322039 5595230.861933354),646020.722,5595230.862
175,16.0,POINT (657147.7799425299 5595196.298792103),657147.78,5595196.299
176,35.0,POINT (638167.8271484408 5595193.156043857),638167.827,5595193.156
177,24.0,POINT (656570.6489719851 5595490.881113645),656570.649,5595490.881
178,22.0,POINT (657362.7786952369 5595173.732261095),657362.779,5595173.732
179,39.0,POINT (641325.8596627839 5595090.18715411),641325.86,5595090.187
180,39.0,POINT (638520.7616660882 5595215.154510792),638520.762,5595215.155
181,38.0,POINT (653648.6424345638 5595131.900096173),653648.642,5595131.9
182,24.0,POINT (656998.7264313279 5595116.679289006),656998.726,5595116.679
183,39.0,POINT (640913.9260353027 5595076.66321828),640913.926,5595076.663
184,39.0,POINT (646177.2833327492 5595044.832939615),646177.283,5595044.833
185,38.0,POINT (637677.6975795747 5595033.817344764),637677.698,5595033.817
186,37.0,POINT (658456.8907263688 5595070.253023821),658456.891,5595070.253
187,39.0,POINT (644811.6361851663 5594976.67078903),644811.636,5594976.671
188,39.0,POINT (657673.7070740494 5595011.885005662),657673.707,5595011.885
189,31.0,POINT (657511.7704954275 5594906.44048519),657511.77,5594906.44
190,37.0,POINT (661801.4508596001 5594999.704112403),661801.451,5594999.704
191,40.0,POINT (637832.0054044751 5594921.129000166),637832.005,5594921.129
192,40.0,POINT (641908.1737021578 5594942.243193117),641908.174,5594942.243
193,11.0,POINT (658048.9252452025 5594934.239813499),658048.925,5594934.24
194,35.0,POINT (658913.5348621352 5595094.300314652),658913.535,5595094.3
195,40.0,POINT (656912.7245438404 5594851.034283475),656912.725,5594851.034
196,38.0,POINT (646433.1794475805 5595073.868736842),646433.179,5595073.869
197,27.0,POINT (655065.0679533528 5594798.632571439),655065.068,5594798.633
198,37.0,POINT (655316.3480626481 5594777.555399245),655316.348,5594777.555
199,39.0,POINT (638013.4079560131 5594761.452330963),638013.408,5594761.452
200,37.0,POINT (655793.9826788792 5594600.342919663),655793.983,5594600.343
201,31.0,POINT (655315.0495105046 5594610.300547454),655315.05,5594610.301
202,39.0,POINT (643597.7622931235 5594616.976593177),643597.762,5594616.977
203,35.0,POINT (656811.2460122255 5594606.736946959),656811.246,5594606.737
204,39.0,POINT (657187.3691137119 5594656.50722794),657187.369,5594656.507
205,30.0,POINT (655340.3740887311 5594571.153180695),655340.374,5594571.153
206,30.0,POINT (657586.8902033592 5594495.209257569),657586.89,5594495.209
207,40.0,POINT (645337.8499633354 5594383.204629154),645337.85,5594383.205
208,31.0,POINT (660447.6083502086 5594382.972465225),660447.608,5594382.972
